# (index) [unitless]: Reference number for the system; first system is System 1.
# period_days_inj [days]: Orbital period (in days) of the planet injected into the system.
# period_years_inj [years]: Orbital period (in years) of the planet injected into the system, calculated after generation.
# mass_inj [M_J]: Mass of the planet injected into the system.
# tau_inj [unitless]: Linear phase shift of the planet in its orbit, i.e. 1-τ is the orbit fraction completed by a planet at the time of first RV measurement.
# HIRES_offset_inj [m/s]: Offset from zero for the HIRES_synth data.
# KPF_offset_inj [m/s]: Offset from zero for the KPF_synth data.
# HIRES_jitter_inj [m/s]: RV jitter for the HIRES_synth data, i.e. this value is the standard deviation used to generate this Gaussian-distributed error.
# KPF_jitter_inj [m/s]: RV jitter for the KPF_synth data, i.e. this value is the standard deviation used to generate this Gaussian-distributed error.
# HIRES_intvar_inj [m/s]: Intrinsic instrument RV variability for the HIRES_synth data, i.e. this value is the standard deviation used to generate this Gaussian-distributed error.
# KPF_intvar_inj [m/s]: Intrinsic instrument RV variability for the KPF_synth data, i.e. this value is the standard deviation used to generate this Gaussian-distributed error.
# period_fit_wo [days]: Orbital period (in days) within the best fit to the data without the critical RV, as recovered by Octofitter.
# period_err_wo [days]: Standard deviation of the associated period posterior.
# mass_fit_wo [M_J]: Mass within the best fit to the data without the critical RV, as recovered by Octofitter.
# mass_err_wo [M_J]: Standard deviation of the associated mass posterior.
# ecc_fit_wo [unitless]: Orbital eccentricity within the best fit to the data without the critical RV, as recovered by Octofitter.
# ecc_err_wo [unitless]: Standard deviation of the associated eccentricity posterior.
# tau_fit_wo [unitless]: Best fit value of the orbit fraction completed by a planet after periastron at the time of first RV measurement, as recovered by Octofitter from the data without the critical RV.
# tau_err_wo [unitless]: Standard deviation of the associated tau posterior.
# HIRES_offset_fit_wo [m/s]: HIRES_synth offset within the best fit to the data without the critical RV, as recovered by Octofitter.
# HIRES_offset_err_wo [m/s]: Standard deviation of the associated HIRES_synth offset posterior.
# KPF_offset_fit_wo [m/s]: KPF_synth offset within the best fit to the data without the critical RV, as recovered by Octofitter.
# KPF_offset_err_wo [m/s]: Standard deviation of the associated KPF_synth offset posterior.
# HIRES_jitter_fit_wo [m/s]: HIRES_synth jitter within the best fit to the data without the critical RV, as recovered by Octofitter.
# HIRES_jitter_err_wo [m/s]: Standard deviation of the associated HIRES_synth jitter posterior.
# KPF_jitter_fit_wo [m/s]: KPF_synth jitter within the best fit to the data without the critical RV, as recovered by Octofitter.
# KPF_jitter_err_wo [m/s]: Standard deviation of the associated KPF_synth jitter posterior.
# logpost_wo [unitless]: Log-likelihood of the best fit to the data without the critical RV, as recovered by Octofitter.
# rec_wo [unitless]: Boolean that is True if the recovered parameters meet the criteria from Subsection 2.2, False otherwise.
# period_fit_w [days]: Orbital period (in days) within the best fit to the data with the critical RV, as recovered by Octofitter.
# period_err_w [days]: Standard deviation of the associated period posterior.
# mass_fit_w [M_J]: Mass within the best fit to the data with the critical RV, as recovered by Octofitter.
# mass_err_w [M_J]: Standard deviation of the associated mass posterior.
# ecc_fit_w [unitless]: Orbital eccentricity within the best fit to the data with the critical RV, as recovered by Octofitter.
# ecc_err_w [unitless]: Standard deviation of the associated eccentricity posterior.
# tau_fit_w [unitless]: Best fit value of the orbit fraction completed by a planet after periastron at the time of first RV measurement, as recovered by Octofitter from the data with the critical RV.
# tau_err_w [unitless]: Standard deviation of the associated tau posterior.
# HIRES_offset_fit_w [m/s]: HIRES_synth offset within the best fit to the data with the critical RV, as recovered by Octofitter.
# HIRES_offset_err_w [m/s]: Standard deviation of the associated HIRES_synth offset posterior.
# KPF_offset_fit_w [m/s]: KPF_synth offset within the best fit to the data with the critical RV, as recovered by Octofitter.
# KPF_offset_err_w [m/s]: Standard deviation of the associated KPF_synth offset posterior.
# HIRES_jitter_fit_w [m/s]: HIRES_synth jitter within the best fit to the data with the critical RV, as recovered by Octofitter.
# HIRES_jitter_err_w [m/s]: Standard deviation of the associated HIRES_synth jitter posterior.
# KPF_jitter_fit_w [m/s]: KPF_synth jitter within the best fit to the data with the critical RV, as recovered by Octofitter.
# KPF_jitter_err_w [m/s]: Standard deviation of the associated KPF_synth jitter posterior.
# logpost_w [unitless]: Log-likelihood of the best fit to the data with the critical RV, as recovered by Octofitter.
# rec_w [unitless]: Boolean that is True if the parameters recovered meet the criteria from Subsection 2.2, False otherwise.
,period_days_inj,period_years_inj,mass_inj,tau_inj,HIRES_offset_inj,KPF_offset_inj,HIRES_jitter_inj,KPF_jitter_inj,HIRES_intvar_inj,KPF_intvar_inj,period_fit_wo,period_err_wo,mass_fit_wo,mass_err_wo,ecc_fit_wo,ecc_err_wo,tau_fit_wo,tau_err_wo,HIRES_offset_fit_wo,HIRES_offset_err_wo,KPF_offset_fit_wo,KPF_offset_err_wo,HIRES_jitter_fit_wo,HIRES_jitter_err_wo,KPF_jitter_fit_wo,KPF_jitter_err_wo,logpost_wo,rec_wo,period_fit_w,period_err_w,mass_fit_w,mass_err_w,ecc_fit_w,ecc_err_w,tau_fit_w,tau_err_w,HIRES_offset_fit_w,HIRES_offset_err_w,KPF_offset_fit_w,KPF_offset_err_w,HIRES_jitter_fit_w,HIRES_jitter_err_w,KPF_jitter_fit_w,KPF_jitter_err_w,logpost_w,rec_w
1,6349.246941285264,17.383661968100245,1.472775720159934,0.0784702188192753,100.44837357553791,-60.60616985706643,3,2,1.5,0.5,6291.615217052289,195761.3234954833,3.032350053261203,239.41717304151217,0.3554314144308179,0.2283098228400157,-0.34326244317304,0.2600925527510879,93.08103784400006,51.1078493011612,-68.21532169273716,50.22303027511586,3.726482086778703,0.5460740253460892,1.4907961093473303,0.5670091506451751,-222.3342279721245,False,6216.735446379059,271.9190859183797,3.187756384329133,1.9985046076671864,0.4091417586470837,0.2082247110539826,-0.3014372786803322,0.2737832390228359,92.95074058377205,10.030863111832351,-67.18226300892414,10.44609457291937,3.776118862416652,0.4269424345775606,1.6016445305646458,0.5221286149194151,-226.58936113534665,False
2,5544.190675957699,15.179490967795338,3.8980807457937785,0.9758499805767222,-75.87381208448888,-40.43993610924855,3,2,1.5,0.5,5528.359879237043,79.88565027262787,3.911382010880152,0.1141779135887001,0.1715532824470381,0.0741407962585032,0.0341137496348873,0.1169280603536742,-85.99037570918028,4.528623707150682,-51.238071778981976,4.467896257854707,2.9837400830994194,0.3660594179403778,2.2269205877953304,0.6341698334040018,-212.4130362856601,False,5558.998522436471,47.16465086007639,3.889277718033997,0.101314175648329,0.1260459801324649,0.068265999912496,0.0301469831888261,0.1063946783155865,-83.29367822018817,3.99156296233334,-49.03883490093909,4.250853188600186,2.9369878318082603,0.3630672024444196,2.219290883357176,0.6244174885477263,-214.90266744718767,False
3,4409.018911992119,12.071493688276211,11.234231404765762,0.0649856014807689,32.04755773080703,-77.22473680538148,3,2,1.5,0.5,4399.437098669351,16.49413516698699,11.466215649041008,0.0717876646158531,0.0123049433401449,0.0064680842191206,0.0690484107866217,0.2490735106802417,31.7699737505834,1.0907370464833075,-76.24236852511778,3.13839075623116,3.0313775626129424,0.3626820132947577,2.073107298962184,0.6441986896243536,-213.5168631206819,True,4399.242837911974,16.956248137684963,11.4193350506501,0.0709494336849618,0.0121735522163822,0.0068218488389855,0.0548404633929327,0.2294369679683683,31.322759559860007,1.0761602780554311,-75.98978304881918,3.145678986228195,3.051064601097255,0.3592506388444907,1.952758214106316,0.6620425973683531,-215.8192058609937,True
4,16475.943727516067,45.10963883011346,2.901729607459476,0.837100688184796,-70.54828675935097,-45.10004499709154,3,2,1.5,0.5,26100.76504176003,22725.30442234816,5.841611651768047,10.596780310777095,0.1398739853660219,0.1443460274590323,0.2910208326391996,0.2628403426204433,-53.03326206993577,59.51531122138123,-21.22990613931752,60.36235156659183,2.5559530190934394,0.3328709765496641,1.6271831559748586,0.4966581511170145,-201.95168681407955,False,56234.73325476666,20416.57688613266,30.92279693853381,12.000500651089816,0.3143837370896106,0.1469789858331054,0.2423688664448158,0.2622555589304216,81.08128087944553,60.8938361680154,110.0345650262037,61.06958092601641,2.556436750992673,0.3269416359641302,1.4679195717250235,0.4911750957875818,-203.4483858220053,False
5,7570.640736139399,20.727727344045675,5.848672712889174,0.5614117462805068,-116.81560805447404,41.13742921937745,3,2,1.5,0.5,7763.967552810529,2287.4805160578026,7.271964702356628,2.473854515824517,0.0859410537630373,0.0849736518028756,-0.3659229677808541,0.3215289541961755,-108.6695861756389,19.40826249251824,48.54930143452736,50.03108287659548,3.0333229912940327,0.3645218615156284,2.517800504383679,1.006739542693613,-216.6902298748057,False,7797.898448506499,246.6455214205708,6.440999909987455,0.7496673651805965,0.0679761448966544,0.0499429221184269,-0.4815604548661118,0.3682255550108565,-116.31595773333956,5.471645632051477,41.59010772621217,6.557451357445915,2.8510923188916366,0.3715319001655123,2.610996629751935,0.7596659924745459,-219.52593882650737,True
6,5332.362305130946,14.599524110661214,5.440767215799978,0.2608095949632892,114.44008181154544,110.74219539532322,3,2,1.5,0.5,5338.830931906015,83.50971915790979,5.299433938272575,0.3175856127179191,0.0269670002603006,0.0150019570636937,0.2685440493268358,0.2612806444357212,114.87481240917587,2.5738996574413755,113.972418509682,7.328926738123276,2.847452394481456,0.3581001848828173,1.937868195233063,0.6253120231319025,-212.19970648590265,True,5303.9249051782845,83.15261042999167,5.630478531407635,0.3075549716704963,0.0216871786737916,0.0148565219729107,-0.10305205638941,0.2631479126400188,113.31761186764643,2.50214103650472,113.39980702302393,7.211964503311728,2.7583510688618014,0.3435430585305905,2.1307643495162183,0.6363688795585708,-214.5077317825369,True
7,18553.467718889864,50.7977109953063,4.683290685619413,0.2808882052907239,70.13397149554675,-5.606941970908906,3,2,1.5,0.5,26353.20330397384,12139.409324017908,12.051715161175036,9.98197124736771,0.2399414076878745,0.1684578123489592,0.4235883254430181,0.310729956405447,36.14818458936104,51.72773258610665,-60.11570222652331,49.9923851551425,3.15657162805202,0.3874266144408236,1.377272549257488,0.4894404763158508,-214.83712143719484,False,28135.0421572355,13027.415703901212,20.024398999247893,10.382201848641769,0.2428989356379139,0.106432564105686,-0.4554876853784553,0.2816648176684963,-4.093234548726565,53.28711652552741,-83.04075688784484,53.13836420369384,3.348782474031432,0.385968533190283,1.7477509759578578,0.4755397318641616,-217.8942157015557,False
8,19731.31099753271,54.02253900982063,4.824713636925435,0.552243274354918,2.3462550211141604,59.7114394831967,3,2,1.5,0.5,21382.755917637576,10086666.397781909,4.399559176132475,291.8863982187627,0.118453879556576,0.182314344373796,0.2243531456337772,0.2757421169646724,-0.8776693037799772,79.74338649742405,55.89263599297881,78.35841841237972,2.5234664935153086,0.3454077953188333,1.749144557624095,0.98154086815407,-204.8987569327517,False,23838.02762133231,13756.585097921916,8.427051737724067,4.432906264598692,0.3838271023292158,0.1449119168208527,-0.0902548255369978,0.143998919910649,29.110312893820826,29.483066215510448,95.2563509435605,29.41631699343936,2.434171666356463,0.3299683211663795,1.888572820138308,0.5324774808872511,-206.2170502933085,False
9,9009.64939654872,24.66760247460102,8.311399762806005,0.0610737934668184,2.302272476576775,128.44623463909363,3,2,1.5,0.5,9497.526866448285,583.0266393754694,9.449111403413362,1.0399737824106323,0.0626156021621853,0.0319093414937311,0.4613656272612492,0.3125718972653039,-3.6516418119849705,6.70707497271466,137.4337732122567,19.56362696344407,2.9266834586870774,0.3555405289896909,1.5300798313155015,0.5922784834842723,-209.6478099441582,True,9036.922699662684,138.62040772337832,8.637670591012318,0.4564720872466847,0.0269141525481782,0.0233564435063526,-0.4924579458701206,0.3364977329254216,0.6608324993252168,2.4965387703119126,126.46314573988036,5.768697180787681,2.9086146013945777,0.3512574997586323,1.5951071727683326,0.5353243829043668,-211.89811043815,True
10,3944.9029190611536,10.800786215451428,2.4242538076840883,0.2579745984983166,57.25949796133602,-134.8915832627709,3,2,1.5,0.5,3968.787582544119,521.965307517643,2.509654758706855,0.4425032763438665,0.0293317278577722,0.0263826169926397,-0.3756388135919787,0.3129033083467961,55.96059761405167,5.010006013118344,-134.09807976834404,3.097356146400885,3.052560007206491,0.3769299999574571,1.2109678733492444,0.4107802826719715,-212.01858566731727,True,3994.939894836881,38.913949765910985,2.4945685593012583,0.0802391113579645,0.0402144847347033,0.0142797151575527,-0.3408697634679606,0.324099691517172,56.52485651172326,0.849109991810709,-133.15064576808828,2.704622739671377,3.384261098286748,0.3758853464438979,0.9880828256803704,0.4145127730405979,-216.42102438334777,True
